TEAM,pDIFF,GP,L,W
Atlanta,-0.9999999999999999,71.0,37.5,33.5
Boston,8.95,71.0,18.5,52.5
Brooklyn,-0.6000000000000001,71.0,36.5,34.5
Charlotte,-8.3,71.5,50.5,21.0
Chicago,-0.04999999999999993,71.0,37.0,34.0
Cleveland,5.15,71.0,26.0,45.0
Dallas,0.39999999999999997,71.5,35.5,36.0
Denver,3.75,71.5,24.0,47.5
Detroit,-8.55,71.0,58.0,13.0
Golden State,1.6,71.0,33.0,38.0
Houston,-4.05,71.0,47.0,24.0
Indiana,-0.9500000000000001,72.0,37.5,34.5
LA Clippers,2.7,70.5,29.0,41.5
LA Lakers,0.0,72.0,34.0,38.0
Memphis,-1.4000000000000001,71.5,36.0,35.5
Miami,0.19999999999999998,71.0,32.0,39.0
Milwaukee,4.0,71.5,22.5,49.0
Minnesota,3.45,71.5,29.5,42.0
New Orleans,3.2,71.5,32.5,39.0
New York,3.3,71.5,30.0,41.5
Oklahoma City,4.5,71.0,30.0,41.0
Orlando,-0.5,71.5,37.0,34.5
Philadelphia,3.8,71.0,26.5,44.5
Phoenix,2.35,71.5,31.5,40.0
Portland,-6.05,70.5,45.5,25.0
Sacramento,1.5,70.5,29.5,41.0
San Antonio,-9.05,71.5,54.0,17.5
Toronto,-0.8500000000000001,71.5,39.5,32.0
Utah,-2.0,71.5,39.5,32.0
Washington,-5.6,71.0,49.0,22.0
