"RANK","TEAM","CONF","DIVISION","GP","PPG","oPPG","pDIFF","PACE","oEFF","dEFF","eDIFF","SOS","rSOS","SAR","CONS","A4F","W","L","WIN%","eWIN%","pWIN%","ACH","STRK"
"","Atlanta","East","Southeast","60","120.4","122.7","-2.3","101.1","118.3","120.5","-2.2","-1.13","0.88","-3.33","13.1","-0.062","26","34","0.433","0.433","0.424","0","-2"
"","Boston","East","Atlantic","60","121.3","109.9","11.4","98","122.8","111.2","11.6","-0.42","-1.25","11.18","16.6","0.096","48","12","0.800","0.758","0.875","0.042","11"
"","Brooklyn","East","Atlantic","60","112.2","114.3","-2.1","97.6","114.3","116.5","-2.2","0.03","-0.75","-2.17","16.8","-0.009","24","36","0.400","0.448","0.431","-0.048","2"
"","Charlotte","East","Southeast","61","107.6","118","-10.4","97.9","109.5","120.1","-10.6","0.94","0.39","-9.66","14.2","-0.069","15","46","0.246","0.227","0.158","0.019","-4"
"","Chicago","East","Central","60","111.7","113.1","-1.4","96.3","114","115.5","-1.5","0.00","0.22","-1.50","12.2","-0.053","28","32","0.467","0.451","0.454","0.016","-1"
"","Cleveland","East","Central","60","114.4","109.5","4.9","97.7","116.2","111.3","4.9","-0.95","1.08","3.95","14.3","0.05","39","21","0.650","0.635","0.661","0.015","-1"
"","Dallas","West","Southwest","61","118.7","118","0.7","100.3","118.3","117.6","0.7","0.17","-0.61","0.87","17.4","-0.013","34","27","0.557","0.516","0.523","0.041","-2"
"","Denver","West","Northwest","61","114.5","110.3","4.2","96.8","118.3","113.9","4.4","0.16","-0.26","4.56","14.4","0.047","42","19","0.689","0.62","0.638","0.069","6"
"","Detroit","East","Central","60","112.1","121","-8.9","100.2","111.3","120.2","-8.9","1.10","-0.45","-7.80","11.2","0.005","9","51","0.150","0.213","0.207","-0.063","-2"
"","Golden State","West","Pacific","60","118.6","117.2","1.4","99.7","117.7","116.4","1.3","-0.19","-1.13","1.11","13.8","0.042","32","28","0.533","0.537","0.546","-0.004","-1"
"","Houston","West","Southwest","60","112.8","113","-0.2","99","112.7","112.9","-0.2","0.49","-1.04","0.29","14.7","-0.01","26","34","0.433","0.495","0.493","-0.062","1"
"","Indiana","East","Central","62","123.3","122","1.3","102.2","120.6","119.4","1.2","0.00","0.92","1.20","15.6","-0.002","34","28","0.548","0.531","0.543","0.017","-2"
"","LA Clippers","West","Pacific","59","117.4","112.5","4.9","97.8","119.8","114.9","4.9","-0.58","-0.37","4.32","14.4","0.034","39","20","0.661","0.633","0.661","0.028","2"
