"RANK","TEAM","CONF","DIVISION","GP","PPG","oPPG","pDIFF","PACE","oEFF","dEFF","eDIFF","SOS","rSOS","SAR","CONS","A4F","W","L","WIN%","eWIN%","pWIN%","ACH","STRK"
"","Boston","East","Atlantic","59","121","110.2","10.8","97.9","122.5","111.6","10.9","-0.48","-0.97","10.42","15.9","0.093","47","12","0.797","0.754","0.856","0.043","10"
"","Cleveland","East","Central","59","114.6","109.6","5","97.8","116.4","111.2","5.2","-1.01","1.17","4.19","14.2","0.052","39","20","0.661","0.643","0.665","0.018","1"
"","Milwaukee","East","Central","61","121.5","117.1","4.4","100.8","119.9","115.6","4.3","-1.18","1.66","3.12","15.7","0.059","40","21","0.656","0.608","0.645","0.048","5"
"","New York","East","Atlantic","60","113.6","109.9","3.7","96.1","118.2","114.4","3.8","-0.30","-0.15","3.50","15.9","-0.004","35","25","0.583","0.594","0.622","-0.011","-2"
"","Philadelphia","East","Atlantic","59","117.1","113.7","3.4","98.4","118.5","115.1","3.4","-1.78","0.11","1.62","17.2","-0.041","34","25","0.576","0.578","0.612","-0.002","1"
"","Orlando","East","Southeast","60","111.5","110.2","1.3","97.5","113.6","112.3","1.3","0.78","-2.01","2.08","14.8","-0.005","34","26","0.567","0.535","0.543","0.032","2"
"","Miami","East","Southeast","59","110.4","109.7","0.7","96.8","113.8","113.2","0.6","-0.22","-1.13","0.38","13.2","-0.029","33","26","0.559","0.518","0.523","0.041","-1"
"","Indiana","East","Central","61","123.6","122.1","1.5","102.3","120.8","119.3","1.5","0.08","0.60","1.58","15.6","0.002","34","27","0.557","0.538","0.549","0.019","-1"
"","Chicago","East","Central","60","111.7","113.1","-1.4","96.3","114","115.5","-1.5","0.00","0.18","-1.50","12.2","-0.053","28","32","0.467","0.451","0.454","0.016","-1"
"","Atlanta","East","Southeast","59","120.7","122.9","-2.2","101.2","118.4","120.5","-2.1","-1.18","0.97","-3.28","13.1","-0.061","26","33","0.441","0.436","0.428","0.005","-1"
"","Brooklyn","East","Atlantic","59","112.1","114.5","-2.4","97.7","114.2","116.6","-2.4","0.11","-0.93","-2.29","16.8","-0.01","23","36","0.390","0.443","0.421","-0.053","1"
"","Toronto","East","Atlantic","60","114.5","117.8","-3.3","99.2","114.5","117.9","-3.4","0.58","-0.75","-2.82","14.7","-0.026","22","38","0.367","0.409","0.391","-0.042","-2"
"","Charlotte","East","Southeast","60","107.6","118.1","-10.5","97.9","109.6","120.3","-10.7","0.99","0.31","-9.71","14.3","-0.07","15","45","0.250","0.226","0.154","0.024","-3"
"","Detroit","East","Central","59","112.5","121.1","-8.6","100.2","111.7","120.3","-8.6","0.99","-0.22","-7.61","11.1","0.013","9","50","0.153","0.22","0.217","-0.067","-1"
"","Washington","East","Southeast","60","114.6","124.6","-10","103.3","110.8","120.4","-9.6","1.89","-1.27","-7.71","13.2","-0.065","9","51","0.150","0.234","0.171","-0.084","-14"
"","Minnesota","West","Northwest","60","113.7","106.6","7.1","97.5","115.8","108.6","7.2","-1.54","1.26","5.66","13.6","0.087","42","18","0.700","0.701","0.734","-0.001","-1"
"","Oklahoma City","West","Northwest","59","121.2","113.3","7.9","99.9","120.5","112.6","7.9","-0.47","-0.39","7.43","16.6","0.027","41","18","0.695","0.683","0.76","0.012","-1"
"","Denver","West","Northwest","60","114.4","110.2","4.2","96.9","118.1","113.8","4.3","0.09","-0.07","4.39","14.5","0.046","41","19","0.683","0.616","0.638","0.067","5"
"","LA Clippers","West","Pacific","58","117.8","112.9","4.9","97.9","120.1","115.1","5","-0.74","0.00","4.26","14.6","0.036","38","20","0.655","0.634","0.661","0.021","1"
"","Phoenix","West","Pacific","59","117.4","114.3","3.1","98.8","118.2","115.2","3","-1.03","3.24","1.97","12.1","0.063","35","24","0.593","0.598","0.602","-0.005","2"
"","New Orleans","West","Southwest","61","116.2","111.7","4.5","98.6","117.7","113.1","4.6","0.43","-0.22","5.03","17.7","0.022","36","25","0.590","0.602","0.648","-0.012","1"
"","Sacramento","West","Pacific","59","118.2","117.9","0.3","99.7","117.4","117.1","0.3","0.25","-0.44","0.55","15.5","-0.005","34","25","0.576","0.508","0.51","0.068","1"
"","Dallas","West","Southwest","60","118.8","118","0.8","100.4","118.3","117.5","0.8","0.13","-0.36","0.93","17.5","-0.016","34","26","0.567","0.518","0.526","0.049","-1"
"","Golden State","West","Pacific","59","119.1","116.8","2.3","99.7","118.2","116","2.2","-0.45","-0.47","1.75","12.1","0.047","32","27","0.542","0.572","0.576","-0.03","3"
"","LA Lakers","West","Pacific","61","117.2","117.6","-0.4","100.9","115.2","115.5","-0.3","-0.14","0.82","-0.44","15.7","0.016","33","28","0.541","0.492","0.487","0.049","2"
"","Utah","West","Northwest","60","117.5","120.4","-2.9","100.1","116.4","119.3","-2.9","0.04","1.04","-2.86","17.1","0.017","27","33","0.450","0.433","0.405","0.017","-2"
"","Houston","West","Southwest","59","112.7","113.1","-0.4","98.9","112.8","113.1","-0.3","0.45","-0.80","0.15","14.8","-0.009","25","34","0.424","0.492","0.487","-0.068","-3"
"","Memphis","West","Southwest","60","106.2","112.9","-6.7","98.3","107.5","114.2","-6.7","1.14","-1.30","-5.56","14.2","-0.06","20","40","0.333","0.319","0.279","0.014","-4"
"","Portland","West","Northwest","58","107.5","115.9","-8.4","97.5","109","117.5","-8.5","0.14","0.87","-8.36","15.9","-0.085","16","42","0.276","0.297","0.223","-0.021","1"
"","San Antonio","West","Southwest","60","112.3","120.6","-8.3","101.6","110.1","118.2","-8.1","0.47","0.64","-7.63","14.5","-0.042","12","48","0.200","0.288","0.227","-0.088","1"
